doi,first_author,middle_authors,last_author,corresponding_author,status
10.1214/14-AOS1212,Luciano Pomatto,Nabil I. Al‐Najjar,Alvaro Sandroni,,success
10.1214/14-AOS1213,Jean Jacod,,Viktor Todorov,,success
10.1214/14-AOS1214,Wenge Guo,Li He,Sanat K. Sarkar,Wenge Guo,success
10.1214/14-AOS1215,Debdeep Pati,Anirban Bhattacharya; Natesh S. Pillai,David Dunson,Debdeep Pati,success
10.1214/13-AOS1179,Jean Jacod,,Markus Reiß,,success
10.1214/14-AOS1216,Valentine Genon-Catalot,,Catherine Laredo,Valentine Genon-Catalot,success
10.1214/14-AOS1221,Sara van de Geer,Peter Bühlmann; Ya’acov Ritov,Ruben Dezeure,Sara van de Geer,success
10.1214/14-AOS1226,Anirvan Chakraborty,,Probal Chaudhuri,,success
10.1214/13-AOS1175,Richard Lockhart,Jonathan Taylor; Ryan J. Tibshirani,Robert Tibshirani,,success
10.1214/13-AOS1175A,Peter Bühlmann,Lukas Meier,Sara van de Geer,,success
10.1214/13-AOS1175C,Jianqing Fan,,Zheng Tracy Ke,Jianqing Fan,success
10.1214/13-AOS1175D,Jinchi Lv,,Zemin Zheng,,success
10.1214/13-AOS1175E,Larry Wasserman,,,Larry Wasserman,success
10.1214/14-AOS1175F,Andreas Buja,,Lawrence Brown,,success
10.1214/14-AOS1175REJ,Richard Lockhart,Jonathan Taylor; Ryan J. Tibshirani,Robert Tibshirani,Richard Lockhart,success
10.1214/13-AOS1187,Shu-heng Zhou,,,Shu-heng Zhou,success
10.1214/13-AOS1193,Ci‐Ren Jiang,Wei Yu,Jane-Ling Wang,,success
10.1214/13-AOS1194,Li Wang,Lan Xue; Annie Qu,Hua Liang,,success
10.1214/13-AOS1196,Hanna Jankowski,,,Hanna Jankowski,success
10.1214/13-AOS1197,Jiangyan Wang,Rong Liu; Fuxia Cheng,Lijian Yang,,success
10.1214/13-AOS1199,Mahdi Soltanolkotabi,Ehsan Elhamifar,Emmanuel J. Candès,Mahdi Soltanolkotabi,success
10.1214/13-AOS1201,Yan Sun,Hongjia Yan; Wenyang Zhang,Zudi Lu,Yan Sun,success
10.1214/14-AOS1203,,,,,not_found
10.1214/14-AOS1204,Alexandre Belloni,Victor Chernozhukov,Lie Wang,Lie Wang,success
10.1214/14-AOS1207,Naveen N. Narisetty,,Xuming He,,success
10.1214/13-AOS1152,Oleg Lepski,,Nora Serdyukova,Oleg Lepski,success
10.1214/13-AOS1173,,,,,not_found
10.1214/13-AOS1180,Tucker McElroy,,Scott H. Holan,,success
10.1214/13-AOS1184,Zhou Zhou,,,Zhou Zhou,success
10.1214/13-AOS1167,Nick Whiteley,,Anthony Lee,Nick Whiteley,success
10.1214/13-AOS1183,Jushan Bai,,Kunpeng Li,,success
10.1214/13-AOS1185,Ke Li,,,Ke Li,success
10.1214/13-AOS1186,,,,,not_found
10.1214/13-AOS1190,Guillaume Lecué,,Philippe Rigollet,Guillaume Lecué,success
10.1214/13-AOS1181,Alexei Onatski,Marcelo J. Moreira,Marc Hallin,,success
10.1214/13-AOS1188,Alejandro Cholaquidis,Antonio Cuevas,Ricardo Fraiman,,success
10.1214/13-AOS1189,Ryan J. Tibshirani,,,Ryan J. Tibshirani,success
10.1214/13-AOS1191,Jianqing Fan,Yingying Fan,Emre Barut,Jianqing Fan,success
10.1214/13-AOS1192,Anirban Bhattacharya,Debdeep Pati,David Dunson,,success
10.1214/13-AOS1195,Wei Luo,Bing Li,Xiangrong Yin,Wei Luo,success
10.1214/13-AOS1158,Raymond J. Carroll,Aurore Delaigle,Peter Hall,Raymond J. Carroll,success
10.1214/13-AOS1160,Rahul Mukerjee,,Boxin Tang,Boxin Tang,success
10.1214/13-AOS1161,Victor Chernozhukov,Denis Chetverikov,Kengo Kato,,success
10.1214/13-AOS1168,Ping‐Shou Zhong,Song Xi Chen,Minya Xu,,success
10.1214/13-AOS1170,Richard Nickl,,Sara van de Geer,,success
10.1214/13-AOS1172,Hock Peng Chan,,Tze Leung Lai,,success
10.1214/13-AOS1151,Vincent Q. Vu,,Jing Lei,Vincent Q. Vu,success
10.1214/13-AOS1169,Weidong Liu,,,Weidong Liu,success
10.1214/13-AOS1182,Xiaohui Chen,Meng-Yu Xu,Wei Biao Wu,Xiaohui Chen,success
10.1214/13-AOS1162,Po-Ling Loh,,Martin J. Wainwright,Po-Ling Loh,success
10.1214/13-AOS1174,,,,,not_found
10.1214/13-AOS1178,Tommaso Cai,Zongming Ma,Yihong Wu,,success
10.1214/13-AOS1140,Dino Sejdinović,Bharath K. Sriperumbudur; Arthur Gretton,Kenji Fukumizu,,success
10.1214/13-AOS1142,John C. Duchi,Lester Mackey,Michael I. Jordan,John C. Duchi,success
10.1214/13-AOS1150,Kengo Kato,,,Kengo Kato,success
10.1214/13-AOS1153,Jean Jacod,,Mark Podolskij,,success
10.1214/13-AOS1155,Sourav Chatterjee,,Persi Diaconis,Sourav Chatterjee,success
10.1214/13-AOS1156,Yazhen Wang,,,Yazhen Wang,success
10.1214/13-AOS1159,Lan Wang,Yongdai Kim,Runze Li,Lan Wang,success
10.1214/13-AOS1163,Yingying Fan,Jiashun Jin,Zhigang Yao,Yingying Fan,success
10.1214/13-AOS1154,Ningning Xia,Yingli Qin,Zhidong Bai,Yingli Qin,success
10.1214/13-AOS1164,Zuofeng Shang,,Guang Cheng,,success
10.1214/13-AOS1165,Junlong Zhao,Chenlei Leng; Lexin Li,Hansheng Wang,,success
10.1214/13-AOS1166,Marianna Pensky,,,Marianna Pensky,success
10.1214/13-AOS1117,Holger Dette,Viatcheslav B. Melas,Petr Shpilev,,success
10.1214/13-AOS1123,Valen E. Johnson,,,Valen E. Johnson,success
10.1214/13-AO1125,,,,,not_found
10.1214/13-AOS1127,Quentin Berthet,,Philippe Rigollet,,success
10.1214/13-AOS1128,Minjing Tao,Yazhen Wang,Harrison H. Zhou,,success
10.1214/13-AOS1135,Jia Li,Viktor Todorov,George Tauchen,Jia Li,success
10.1214/13-AOS1137,Peter Hall,,Joël L. Horowitz,,success
10.1214/13-AOS1124,,,,,error
10.1214/13-AOS1130,Jan Draisma,Sonja Kuhnt,Piotr Zwiernik,Jan Draisma,success
10.1214/13-AOS1132,Christian Francq,,Jean-Michel Zakoian,Christian Francq,success
10.1214/13-AOS1133,Ismael Castillo,,Richard Nickl,Ismael Castillo,success
10.1214/13-AOS1134,Tiefeng Jiang,,Fan Yang,,success
10.1214/13-AOS1136,Rongmao Zhang,Liang Peng,Ruodu Wang,Rongmao Zhang,success
10.1214/13-AOS1138,Arash A. Amini,Aiyou Chen; Peter J. Bickel,Elizaveta Levina,Arash A. Amini,success
10.1214/13-AOS1139,Jinyuan Chang,Cheng Yong Tang,Yichao Wu,Jinyuan Chang,success
10.1214/13-AOS1141,Li Zhang,,,Li Zhang,success
10.1214/13-AOS1143,Min Tsao,,Fan Wu,,success
10.1214/13-AOS1148,Wei Zheng,,,Wei Zheng,success
10.1214/13-AOS1149,Jinchi Lv,,,Jinchi Lv,success
10.1214/13-AOS1095,Taiji Suzuki,,Masashi Sugiyama,,success
10.1214/13-AOS1112,Minh Tang,Daniel L. Sussman,Carey E. Priebe,Minh Tang,success
10.1214/13-AOS1114,Magalie Fromont,Béatrice Laurent,Patricia Reynaud-Bouret,,success
10.1214/13-AOS1115,Jean Jacod,,Mathieu Rosenbaum,Jean Jacod,success
10.1214/13-AOS1116,Axel Bücher,,Mathias Vetter,,success
10.1214/13-AOS1119,Olivier Cappé,Aurélien Garivier; Odalric-Ambrym Maillard; Rémi Munos,Gilles Stoltz,Olivier Cappé,success
10.1214/13-AOS1126,Sam Efromovich,,,Sam Efromovich,success
10.1214/13-AOS1131,Jeffrey W. Miller,,Matthew Tom Harrison,,success
10.1214/13-AOS1121,H. Masuda,,,H. Masuda,success
10.1214/13-AOS1122,Susanne M. Schennach,,,Susanne M. Schennach,success
10.1214/13-AOS1129,Jiahua Chen,,Yukun Liu,,success
10.1214/12-AOS1014,Aharon Birnbaum,Iain M. Johnstone; Boaz Nadler,Debashis Paul,,success
10.1214/16-AOS1441,Simeng Qu,Jane-Ling Wang,Xiao Wang,Xiao Wang,success
10.1214/16-AOS1445,Marianna Pensky,,,Marianna Pensky,success
10.1214/16-AOS1447,Antony Joseph,,Bin Yu,,success
10.1214/16-AOS1451,Kayvan Sadeghi,,,Kayvan Sadeghi,success
10.1214/15-AOS1394,,,,,not_found
10.1214/15-AOS1408,Qiyang Han,,Jon A. Wellner,,success
10.1214/15-AOS1399,,,,,not_found
10.1214/15-AOS1406,Yu‐Ru Su,,Jane-Ling Wang,,success
10.1214/15-AOS1371,Jason D. Lee,Dennis L. Sun; Yuekai Sun,Jonathan E. Taylor,Jason D. Lee,success
10.1214/15-AOS1393,Clifford Lam,,,Clifford Lam,success
10.1214/15-AOS1395,Sébastien Gadat,Thierry Klein,Clément Marteau,,success
10.1214/15-AOS1396,,,,,not_found
10.1214/15-AOS1397,Weijie Su,,Emmanuel J. Candès,,success
10.1214/15-AOS1398,William Weimin Yoo,,Subhashis Ghosal,William Weimin Yoo,success
10.1214/15-AOS1400,R. A. Bailey,,Chris Brien,,success
10.1214/15-AOS1401,,,,,not_found
10.1214/15-AOS1403,Yuan Ke,Jialiang Li,Wenyang Zhang,,success
