doi,first_author,middle_authors,last_author,corresponding_author,year,author_status,year_status
10.1214/14-AOS1212,Luciano Pomatto,Nabil I. Al‐Najjar,Alvaro Sandroni,,2014,success,success
10.1214/14-AOS1213,Jean Jacod,,Viktor Todorov,,2014,success,success
10.1214/14-AOS1214,Wenge Guo,Li He,Sanat K. Sarkar,Wenge Guo,2014,success,success
10.1214/14-AOS1215,Debdeep Pati,Anirban Bhattacharya; Natesh S. Pillai,David Dunson,Debdeep Pati,2014,success,success
10.1214/13-AOS1179,Jean Jacod,,Markus Reiß,,2014,success,success
10.1214/14-AOS1216,Valentine Genon-Catalot,,Catherine Laredo,Valentine Genon-Catalot,2014,success,success
10.1214/14-AOS1221,Sara van de Geer,Peter Bühlmann; Ya’acov Ritov,Ruben Dezeure,Sara van de Geer,2014,success,success
10.1214/14-AOS1226,Anirvan Chakraborty,,Probal Chaudhuri,,2014,success,success
10.1214/13-AOS1175,Richard Lockhart,Jonathan Taylor; Ryan J. Tibshirani,Robert Tibshirani,,2014,success,success
10.1214/13-AOS1175A,Peter Bühlmann,Lukas Meier,Sara van de Geer,,2014,success,success
10.1214/13-AOS1175C,Jianqing Fan,,Zheng Tracy Ke,Jianqing Fan,2014,success,success
10.1214/13-AOS1175D,Jinchi Lv,,Zemin Zheng,,2014,success,success
10.1214/13-AOS1175E,Larry Wasserman,,,Larry Wasserman,2014,success,success
10.1214/14-AOS1175F,Andreas Buja,,Lawrence Brown,,2014,success,success
10.1214/14-AOS1175REJ,Richard Lockhart,Jonathan Taylor; Ryan J. Tibshirani,Robert Tibshirani,Richard Lockhart,2014,success,success
10.1214/13-AOS1187,Shu-heng Zhou,,,Shu-heng Zhou,2014,success,success
10.1214/13-AOS1193,Ci‐Ren Jiang,Wei Yu,Jane-Ling Wang,,2014,success,success
10.1214/13-AOS1194,Li Wang,Lan Xue; Annie Qu,Hua Liang,,2014,success,success
10.1214/13-AOS1196,Hanna Jankowski,,,Hanna Jankowski,2014,success,success
10.1214/13-AOS1197,Jiangyan Wang,Rong Liu; Fuxia Cheng,Lijian Yang,,2014,success,success
10.1214/13-AOS1199,Mahdi Soltanolkotabi,Ehsan Elhamifar,Emmanuel J. Candès,Mahdi Soltanolkotabi,2014.0,success,success
10.1214/13-AOS1201,Yan Sun,Hongjia Yan; Wenyang Zhang,Zudi Lu,Yan Sun,2014.0,success,success
10.1214/14-AOS1203,,,,,,not_found,not_found
10.1214/14-AOS1204,Alexandre Belloni,Victor Chernozhukov,Lie Wang,Lie Wang,2014.0,success,success
10.1214/14-AOS1207,Naveen N. Narisetty,,Xuming He,,2014.0,success,success
10.1214/13-AOS1152,Oleg Lepski,,Nora Serdyukova,Oleg Lepski,2014.0,success,success
10.1214/13-AOS1173,,,,,,not_found,not_found
10.1214/13-AOS1180,Tucker McElroy,,Scott H. Holan,,2014.0,success,success
10.1214/13-AOS1184,Zhou Zhou,,,Zhou Zhou,2014.0,success,success
10.1214/13-AOS1167,Nick Whiteley,,Anthony Lee,Nick Whiteley,2014.0,success,success
10.1214/13-AOS1183,Jushan Bai,,Kunpeng Li,,2014.0,success,success
10.1214/13-AOS1185,Ke Li,,,Ke Li,2014.0,success,success
10.1214/13-AOS1186,,,,,,not_found,not_found
10.1214/13-AOS1190,Guillaume Lecué,,Philippe Rigollet,Guillaume Lecué,2014.0,success,success
10.1214/13-AOS1181,Alexei Onatski,Marcelo J. Moreira,Marc Hallin,,2014.0,success,success
10.1214/13-AOS1188,Alejandro Cholaquidis,Antonio Cuevas,Ricardo Fraiman,,2014.0,success,success
10.1214/13-AOS1189,Ryan J. Tibshirani,,,Ryan J. Tibshirani,2014.0,success,success
10.1214/13-AOS1191,Jianqing Fan,Yingying Fan,Emre Barut,Jianqing Fan,2014.0,success,success
10.1214/13-AOS1192,Anirban Bhattacharya,Debdeep Pati,David Dunson,,2014.0,success,success
10.1214/13-AOS1195,Wei Luo,Bing Li,Xiangrong Yin,Wei Luo,2014.0,success,success
10.1214/13-AOS1158,Raymond J. Carroll,Aurore Delaigle,Peter Hall,Raymond J. Carroll,2013.0,success,success
10.1214/13-AOS1160,Rahul Mukerjee,,Boxin Tang,Boxin Tang,2013.0,success,success
10.1214/13-AOS1161,Victor Chernozhukov,Denis Chetverikov,Kengo Kato,,2013.0,success,success
10.1214/13-AOS1168,Ping‐Shou Zhong,Song Xi Chen,Minya Xu,,2013.0,success,success
10.1214/13-AOS1170,Richard Nickl,,Sara van de Geer,,2013.0,success,success
10.1214/13-AOS1172,Hock Peng Chan,,Tze Leung Lai,,2013.0,success,success
10.1214/13-AOS1151,Vincent Q. Vu,,Jing Lei,Vincent Q. Vu,2013.0,success,success
10.1214/13-AOS1169,Weidong Liu,,,Weidong Liu,2013.0,success,success
10.1214/13-AOS1182,Xiaohui Chen,Meng-Yu Xu,Wei Biao Wu,Xiaohui Chen,2013.0,success,success
10.1214/13-AOS1162,Po-Ling Loh,,Martin J. Wainwright,Po-Ling Loh,2013.0,success,success
10.1214/13-AOS1174,,,,,,not_found,not_found
10.1214/13-AOS1178,Tommaso Cai,Zongming Ma,Yihong Wu,,2013.0,success,success
10.1214/13-AOS1140,Dino Sejdinović,Bharath K. Sriperumbudur; Arthur Gretton,Kenji Fukumizu,,2013.0,success,success
10.1214/13-AOS1142,John C. Duchi,Lester Mackey,Michael I. Jordan,John C. Duchi,2013.0,success,success
10.1214/13-AOS1150,Kengo Kato,,,Kengo Kato,2013.0,success,success
10.1214/13-AOS1153,Jean Jacod,,Mark Podolskij,,2013.0,success,success
10.1214/13-AOS1155,Sourav Chatterjee,,Persi Diaconis,Sourav Chatterjee,2013.0,success,success
10.1214/13-AOS1156,Yazhen Wang,,,Yazhen Wang,2013.0,success,success
10.1214/13-AOS1159,,,,,,"error_HTTPSConnectionPool(host='api.openalex.org', port=443): Max retries exceeded with url: /works/doi:10.1214/13-AOS1159 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)')))","error_HTTPSConnectionPool(host='api.openalex.org', port=443): Max retries exceeded with url: /works/doi:10.1214/13-AOS1159 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)')))"
10.1214/13-AOS1163,Yingying Fan,Jiashun Jin,Zhigang Yao,Yingying Fan,2013.0,success,success
10.1214/13-AOS1154,Ningning Xia,Yingli Qin,Zhidong Bai,Yingli Qin,2013.0,success,success
10.1214/13-AOS1164,Zuofeng Shang,,Guang Cheng,,2013.0,success,success
10.1214/13-AOS1165,Junlong Zhao,Chenlei Leng; Lexin Li,Hansheng Wang,,2013.0,success,success
10.1214/13-AOS1166,Marianna Pensky,,,Marianna Pensky,2013.0,success,success
10.1214/13-AOS1117,Holger Dette,Viatcheslav B. Melas,Petr Shpilev,,2013.0,success,success
10.1214/13-AOS1123,Valen E. Johnson,,,Valen E. Johnson,2013.0,success,success
10.1214/13-AO1125,,,,,,not_found,not_found
10.1214/13-AOS1127,Quentin Berthet,,Philippe Rigollet,,2013.0,success,success
10.1214/13-AOS1128,Minjing Tao,Yazhen Wang,Harrison H. Zhou,,2013.0,success,success
10.1214/13-AOS1135,Jia Li,Viktor Todorov,George Tauchen,Jia Li,2013.0,success,success
10.1214/13-AOS1137,Peter Hall,,Joël L. Horowitz,,2013.0,success,success
10.1214/13-AOS1124,,,,,,not_found,not_found
10.1214/13-AOS1130,Jan Draisma,Sonja Kuhnt,Piotr Zwiernik,Jan Draisma,2013.0,success,success
10.1214/13-AOS1132,Christian Francq,,Jean-Michel Zakoian,Christian Francq,2013.0,success,success
10.1214/13-AOS1133,Ismael Castillo,,Richard Nickl,Ismael Castillo,2013.0,success,success
10.1214/13-AOS1134,Tiefeng Jiang,,Fan Yang,,2013.0,success,success
10.1214/13-AOS1136,Rongmao Zhang,Liang Peng,Ruodu Wang,Rongmao Zhang,2013.0,success,success
10.1214/13-AOS1138,Arash A. Amini,Aiyou Chen; Peter J. Bickel,Elizaveta Levina,Arash A. Amini,2013.0,success,success
10.1214/13-AOS1139,Jinyuan Chang,Cheng Yong Tang,Yichao Wu,Jinyuan Chang,2013.0,success,success
10.1214/13-AOS1141,Li Zhang,,,Li Zhang,2013.0,success,success
10.1214/13-AOS1143,Min Tsao,,Fan Wu,,2013.0,success,success
10.1214/13-AOS1148,Wei Zheng,,,Wei Zheng,2013.0,success,success
10.1214/13-AOS1149,Jinchi Lv,,,Jinchi Lv,2013.0,success,success
10.1214/13-AOS1095,Taiji Suzuki,,Masashi Sugiyama,,2013.0,success,success
10.1214/13-AOS1112,Minh Tang,Daniel L. Sussman,Carey E. Priebe,Minh Tang,2013.0,success,success
10.1214/13-AOS1114,Magalie Fromont,Béatrice Laurent,Patricia Reynaud-Bouret,,2013.0,success,success
10.1214/13-AOS1115,Jean Jacod,,Mathieu Rosenbaum,Jean Jacod,2013.0,success,success
10.1214/13-AOS1116,Axel Bücher,,Mathias Vetter,,2013.0,success,success
10.1214/13-AOS1119,Olivier Cappé,Aurélien Garivier; Odalric-Ambrym Maillard; Rémi Munos,Gilles Stoltz,Olivier Cappé,2013.0,success,success
10.1214/13-AOS1126,Sam Efromovich,,,Sam Efromovich,2013.0,success,success
10.1214/13-AOS1131,Jeffrey W. Miller,,Matthew Tom Harrison,,2013.0,success,success
10.1214/13-AOS1121,H. Masuda,,,H. Masuda,2013.0,success,success
10.1214/13-AOS1122,Susanne M. Schennach,,,Susanne M. Schennach,2013.0,success,success
10.1214/13-AOS1129,Jiahua Chen,,Yukun Liu,,2013.0,success,success
10.1214/12-AOS1014,Aharon Birnbaum,Iain M. Johnstone; Boaz Nadler,Debashis Paul,,2013.0,success,success
10.1214/16-AOS1441,Simeng Qu,Jane-Ling Wang,Xiao Wang,Xiao Wang,2016.0,success,success
10.1214/16-AOS1445,Marianna Pensky,,,Marianna Pensky,2016.0,success,success
10.1214/16-AOS1447,Antony Joseph,,Bin Yu,,2016.0,success,success
10.1214/16-AOS1451,Kayvan Sadeghi,,,Kayvan Sadeghi,2016.0,success,success
10.1214/15-AOS1394,,,,,,not_found,not_found
