Id,Label,Size,modularity_class
pseudo-conditional-likelihood,pseudo-conditional-likelihood,1,8
gaussian stochastic process,gaussian stochastic process,1,1
geometrical isomorphism,geometrical isomorphism,1,2
external disease,external disease,1,8
local maximum likelihood,local maximum likelihood,1,1
minimax lower bound,minimax lower bound,10,6
pseudolikelihood,pseudolikelihood,19,3
fisher's combination,fisher's combination,1,5
displacement effect,displacement effect,1,4
multivariate varying,multivariate varying,1,3
sparsity pattern,sparsity pattern,1,7
financial time series,financial time series,2,0
second-order correctness,second-order correctness,2,5
square-root lasso,square-root lasso,1,3
testability,testability,2,3
pairwise decorrelated,pairwise decorrelated,1,2
maximum covariance patterns,maximum covariance patterns,1,6
multiple testing procedure,multiple testing procedure,2,3
minimax hypothesis testing,minimax hypothesis testing,5,2
sobolev densities,sobolev densities,1,6
absolute residual autocorrelation,absolute residual autocorrelation,1,3
genome segmentation,genome segmentation,1,2
factor analysis,factor analysis,18,3
efficiency bound,efficiency bound,2,1
line of,line of,1,1
higher order kernels,higher order kernels,1,7
incomplete curve,incomplete curve,1,7
feature extraction,feature extraction,1,5
moment inequality,moment inequality,1,1
cusum chart,cusum chart,1,7
switching autoregression,switching autoregression,1,8
model average estimators,model average estimators,1,2
protein mass spectroscopy,protein mass spectroscopy,1,3
davies problem,davies problem,1,6
theory of classification,theory of classification,1,8
duality,duality,7,0
mirror averaging,mirror averaging,1,6
sequential test,sequential test,2,8
u statistic,u statistic,2,6
polyhedral cone,polyhedral cone,1,2
information monitoring,information monitoring,1,8
ridge calibration,ridge calibration,1,7
logistic discrimination,logistic discrimination,1,5
sieve empirical likelihood,sieve empirical likelihood,1,3
multivariate location-scale student's t distribution,multivariate location-scale student's t distribution,1,8
founder alleles,founder alleles,1,6
hierarchical feature selection,hierarchical feature selection,1,0
mixture distributions,mixture distributions,2,2
variance model,variance model,1,1
partial sphericity,partial sphericity,1,4
components-of-variance model,components-of-variance model,1,4
kullback-leibler distance,kullback-leibler distance,3,4
metropolized independence sampler,metropolized independence sampler,1,0
superadditivity,superadditivity,1,5
slex principal components,slex principal components,1,3
composite null hypothesis,composite null hypothesis,1,0
efficient influence function,efficient influence function,3,8
latent position model,latent position model,1,0
simultaneous test,simultaneous test,1,1
quasilikelihood,quasilikelihood,7,7
algebraic variety,algebraic variety,1,8
continuous design,continuous design,1,5
ovarian cancer,ovarian cancer,1,3
pseudo-regret,pseudo-regret,1,5
locally stationary process,locally stationary process,4,5
sensor allocation,sensor allocation,1,4
bayesian model averaging,bayesian model averaging,13,6
object symmetry,object symmetry,1,5
neutral-to-the-right prior distribution,neutral-to-the-right prior distribution,1,1
size and power,size and power,2,1
multiscale modeling,multiscale modeling,2,7
step-down testing,step-down testing,1,4
affinely equivariant,affinely equivariant,1,7
smoothing spline.,smoothing spline.,1,6
