source,target
6318,4952
3817,4179
3817,3783
3817,3249
3817,6295
3817,1685
3817,5632
3490,1001
3490,5141
3490,4884
3490,5845
3490,5139
3490,1453
3490,2589
3490,4305
3490,5632
3490,2625
3490,853
3490,5991
2039,4176
2039,5248
2039,4996
2039,1688
2039,4898
2039,56
2039,1190
2039,2294
5878,4384
5878,5004
5878,1786
5878,723
5878,6192
5878,6451
5878,2852
5878,1179
5559,5344
5559,5858
5559,3250
6160,1202
6160,5404
6160,2703
6160,5968
6160,1093
6160,5621
2029,1447
2029,4657
2029,6438
2029,1187
2029,2885
2029,6426
2029,5637
3757,6383
3757,4752
3757,5978
3757,4884
3757,6346
3757,2673
3757,6147
3757,3847
3416,4837
3416,3899
3416,5511
3416,3705
3416,5783
3416,2638
3416,3881
4521,5392
4521,5213
4521,2298
4521,5144
4521,3729
4521,5409
4521,4253
4521,5635
4521,3735
4521,5393
4521,4622
2397,986
2397,4380
2397,3935
2397,5764
2397,728
2397,5777
3420,415
3420,5873
326,1588
326,5404
326,4268
326,842
326,473
326,2852
326,601
326,2592
326,6166
4516,5414
4516,4786
4516,3210
1970,406
1970,3293
1970,9
1970,4409
1970,7
1970,5827
1970,5621
3415,947
3415,6076
3415,4888
3415,3438
4042,1301
4042,4475
4042,702
4042,4415
4042,1190
4025,5680
4025,3850
4025,4906
6056,1656
6056,5602
6056,3672
6072,5377
6072,2286
6072,5903
6072,4166
6072,5635
6072,5636
2223,2564
2223,5918
2223,2110
2223,1954
2223,3451
2223,5409
2223,2437
2223,2597
2223,2475
2223,5635
2223,617
2223,2686
2223,4279
2223,3404
884,5928
884,5321
884,4568
884,1132
884,6394
884,5995
2565,5056
6246,2907
6246,3204
6246,6381
6246,761
6246,1937
6246,4012
6246,3714
2155,2781
2155,778
2155,5423
282,1321
282,1425
5957,6465
5957,5719
5957,4809
2710,3112
2710,6487
2710,2951
2710,6354
2710,5382
6314,1582
4848,5043
4848,6355
2292,1247
2292,4964
2292,1308
5771,6412
1471,5761
4282,4765
948,4856
948,1740
948,4312
6153,5159
6153,5751
6153,6474
6153,2929
6153,5158
6153,6384
4638,4967
4638,5601
3897,4973
4403,3918
4403,5608
4403,5978
4403,4155
5901,1247
1950,2515
1950,4952
1950,1320
1950,938
1950,5908
1950,747
1950,5712
1950,5777
5744,1568
5744,4888
5744,1414
5744,5279
745,1278
3528,1927
3528,1010
3528,488
3528,4708
3528,6136
3528,5777
6086,1300
6086,4888
6086,3711
6086,4144
735,997
735,5677
735,1606
735,829
4357,1157
4357,2871
4357,5342
4357,2853
3963,2293
3963,639
4143,6432
4143,5724
4143,3174
4143,4930
3291,4226
3291,4870
3291,5964
3291,3232
3291,5485
1315,1205
600,3304
600,5608
600,1906
57,4881
57,1143
57,1222
2332,5333
6051,4425
6051,3729
6051,3996
6051,4622
5707,6415
6016,5707
6016,5748
6016,4425
6016,3729
6016,4221
6016,6150
6016,6116
6016,3996
6016,4406
6016,6051
6016,4622
968,1380
968,3038
968,2899
968,1735
5222,6479
2807,1244
2807,2950
2807,6413
2749,4970
2749,3094
2749,3036
2286,5748
2286,4695
2982,3110
1350,3110
1348,6386
1348,1775
6202,6099
6202,1371
6202,1202
6202,1533
6202,4930
4271,3109
4271,5074
3312,5301
3312,5385
3312,1770
3312,6445
3312,1250
3312,5451
3312,6193
3312,1324
3312,5610
2562,5763
3931,5482
3931,5929
3931,3106
3931,2555
3931,3204
3931,1437
3931,5314
3931,2789
2661,5482
2661,3106
2661,1399
2661,1437
2661,4809
2661,4311
2661,5274
2661,2789
1898,5997
1898,6411
1898,2811
3269,5699
3269,5490
3269,6445
3269,1684
3269,5997
3269,6444
3269,5284
708,922
708,1202
708,1767
708,5404
708,5460
708,4265
708,2703
708,5968
708,1093
708,5621
710,5321
710,886
710,6396
710,4708
710,4750
3022,3199
6412,6477
3126,3201
5166,1641
53,468
53,500
53,3292
53,5329
53,495
53,610
53,1364
53,782
53,848
53,471
53,2741
2021,2880
4288,5339
3313,4619
5950,2822
5950,6362
5950,5030
5950,5076
5950,4970
5950,4997
5950,3094
5950,2951
5950,5263
5950,6451
3730,5149
3730,4338
4430,4210
4430,4575
4430,5284
4007,5647
4007,4659
4007,5519
4007,5619
1147,1681
1147,3092
309,724
309,4171
4633,1169
4633,4889
4633,4734
4633,5738
4633,4788
4633,4989
4633,5621
3698,3864
3698,2357
3698,2488
3698,2679
3698,3329
3698,5509
3698,5753
3698,5463
3698,3285
3353,3643
3353,4474
3353,3450
2634,2888
2634,3156
2634,5750
5147,6475
5147,4970
5923,3151
5923,6377
3430,1042
3430,6385
3430,2652
3430,4306
3430,3718
3430,4782
5092,5013
2784,1202
2784,4835
2769,6371
2769,4827
2893,3040
2893,3204
4807,6362
4807,3047
4807,3078
2278,3164
5058,1557
2862,5101
2862,2923
2862,2986
3047,3078
5018,2775
1478,1754
4788,4989
3062,5004
3062,6434
5746,3022
5746,5782
5746,6348
5708,5382
6183,1765
6183,5789
4679,3156
5263,1765
5263,1764
5263,6362
5263,6391
5263,6401
5263,5030
5263,3161
5263,3160
5263,4970
5263,4807
5263,3094
3161,5028
963,1605
963,2906
1132,3074
1132,5630
1132,5995
837,2867
837,972
837,1235
837,5197
837,5522
4704,3029
1810,1506
1810,5270
1810,1463
1810,6438
1810,5169
1810,4847
4814,6422
4814,3053
1456,1211
1456,1547
2270,4952
2270,4953
2270,1514
2270,5404
2270,5998
2270,5371
2270,5968
2270,5712
2270,5972
2270,2712
2270,2678
2270,5621
2882,1514
2882,5404
904,1283
2801,3191
854,2288
